,Acinetobacter,Burkholderia,Burkholderia cepacia complex,Salmonella,Shigella,Enterobacter,Enterobacter cloacae complex,Helicobacter,Campylobacter,Enterococcus,Escherichia,Vibrio,Morganella,Citrobacter,Providencia,Clostrioides,Klebsiella,Proteus,Streptococcus,Staphylococcus,Stenotrophomonas,Stenotrophomonas maltophilia group,Haemophilus,Serratia,Giardia,Vermamoeba,Acanthamoeba,Naegleria,Acinetobacter calcoaceticus baumannii complex,Pseudomonas,Legionella,Mycobacterium,Mycobacterium avium complex
4129757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00142E5C74,,,
3270303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A399PY04,,,
722132,UPI000450B240,UPI00048CD714,UPI000B514788,UPI0009AC1A10,,UPI0005DF1C68,UPI00079A563F,A0A2T6SDW4,UPI000A358E44,A0A1L8WY25,UPI00051083E4,A0A2J8GVZ0,,,,,UPI0013D4FBD9,,UPI00038105AF,UPI00067233A5,,,,,,,,,,A0A0P7KV69,,UPI000459BE6A,
609871,A0A3R9FV50,A0A3G3LCH7,A0A0J5WNS0,UPI00141526F5,,UPI000D34FE5A,UPI0007A75B78,Q17XQ7,UPI000BB41B48,UPI00148C735E,UPI001299DB02,A0A2S9ZHW8,,,,,UPI0003BF203E,,UPI0002B50EFB,UPI0009903552,UPI000A3006E6,,,,,,,,,A0A3B8TU02,,A0A1V3WEC9,
1882597,,UPI0007586345,,,,,,,,,UPI000BDEE9FE,UPI0011206419,,,,,,,,,,,,,,,,,,UPI000F8357F1,,,
1516888,,UPI000CFE84A7,UPI000756C971,,,,,,,,UPI000D651CA2,A0A454CT05,,,,,UPI0007D70DE9,,UPI0010CAC080,,,,,,,,,,,UPI001364BB3D,,UPI00111BF37D,
5634841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000EFC1DEA,,,
143047,UPI000DE6B1E9,UPI000BBD3642,UPI000F8022B6,A0A3V8HW99,,UPI000F84280C,A0A3A3Z9B1,UPI000EB22F59,A0A610M388,UPI000F06A70C,A0A0D8WCA7,A0A0E4CCQ2,,UPI0004D3951E,,UPI00097FEFC4,UPI000E2B7B6B,UPI00088053AD,A0A2J9QBY6,UPI000CD03604,A0A2J0UND5,UPI0013DA1EA6,E1W573,A0A318NRV2,,,,,A0A1S2FW82,A0A239AAF7,A0A2S6EV27,A0A2U3N7W3,UPI0011A75AF0
903398,A0A1H8QBH3,A0A3P0FR88,UPI000757A5D5,UPI0009AAD73E,,UPI0007B36792,,UPI0012E8507F,,,UPI0002CBF624,UPI000310C2A6,,,,,UPI000B4125A2,,A0A1S1ZPM0,UPI000D1DD35C,,,,,,,,,,UPI000BA3DAE7,,A0A1X2E5P1,
6088924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00068286B7,,,
6079357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI001130F6A9,,,
5434057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A3M2HPJ7,,,
5403629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A3M3CUW0,,,
4838672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A178LF27,,,
6123738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI001067225A,,,
2184591,,UPI0008FDFD2C,,,,,,,,,UPI00111475C3,UPI00111D98DA,,,,,,,,,,,,,,,,,,UPI00129BAF64,,,
4393858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000562EA9D,,,
3576117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A285GES2,,,
5511445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000BA33935,,,
1751461,,UPI0009BD6177,,,,,,,,,UPI000FAE88E9,UPI000D363310,,,,,,,UPI00066DE3EA,,,,,,,,,,,UPI000F034E5B,,UPI00096D5C1D,
4054957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5N9I2F4,,,
1134743,A0A4V2LNY3,UPI001420341F,UPI000752D38F,,,,,A0A2U8FBE0,,,A0A400JG83,A0A0M3EAL3,,,,,UPI000C7DCCF7,,A0A428IH41,UPI00132F629B,,,,,,,,,,A0A2K9CF08,,UPI0005DCEC67,
6830246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00071B343B,,,
1109108,N8PXG7,UPI0013056F88,UPI00075B89E3,,,,,K2J7U4,,,A0A414VMT7,UPI0005F14CBB,,,,,UPI000CEC2483,,A0A428ABC7,UPI000D046E71,,,,,,,,,,A0A4U3DI35,,UPI00142400BB,
4821972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2S3X5T4,,,
2429617,,UPI0007531624,,,,,,,,,UPI0009639884,UPI000A015CD5,,,,,,,,,,,,,,,,,,A0A5R8ZV18,,,
5125005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5E7S300,,,
2629710,,UPI000AFDA0EE,,,,,,,,,UPI000B8AD7D4,UPI00084A7F72,,,,,,,,,,,,,,,,,,A0A1I5ARC1,,,
3722447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A4Q9GDE2,,,
42026,N9QMU4,A0A228HJT4,A0A3Q9FE26,UPI000E6822FE,UPI0002833889,UPI000DCDDC1A,A0A6B9XT98,T5DGY9,UPI000BB442AD,UPI00041B7754,A0A377B2A1,A0A0A5I8R4,UPI0003A37173,A0A2X2X2Y7,K8WSE5,UPI00038CF15A,UPI000E3D0F72,UPI000D68D17B,A0A380KDX0,UPI00044BB18E,A0A3D0GF64,A0A699XWE9,UPI000E0DBC82,A0A6C0ZIB4,,,,,A0A270KTD9,A0A0F4XVV8,A0A3A5L3L1,A0A0Q9A5M9,A0A096XDQ2
1007717,UPI0005C788F9,A0A3G3H8S3,UPI000755E522,,,UPI000B3B4E9A,,A0A377JVN5,,,UPI0003EF90E5,UPI00040A1EE0,,,,,UPI000E2C0A38,,UPI0005E11DBC,UPI0011A20218,,,,,,,,,,A0A2A2DQ48,,A0A1A1Z336,
1479958,UPI000B4C9BAA,A0A3S9N1Y9,UPI00075382F2,,,,,,,,A0A3L2GT12,UPI0001B95191,,,,,UPI0006820C93,,UPI000CF7389E,,,,,,,,,,,UPI0012AB4F0C,,UPI000C7A1E20,
4607249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A0S4I4Z2,,,
1127396,A0A3A8EDU5,UPI0013DF1928,UPI0007563953,,,,,L8VWQ0,,,A0A3Q0MY99,A0A2N7HX82,,,,,UPI000CC9AB9F,,I2IYV5,UPI0013A69EBA,,,,,,,,,,A0A2A2DVC4,,UPI0005E69505,
4458660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A3G7X590,,,
3483391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A4T1ZT48,,,
450371,UPI00129CFEFC,UPI000F5EA23F,A0A1B4HWD4,A0A3U3PXT3,,UPI0013D3CE3C,UPI000E2F56A5,UPI0002B9BD7B,UPI00057FC8E5,UPI000CF219C2,UPI001375387A,UPI000F4A350D,,,,,UPI001033BF95,,I0SXM2,UPI000501C6BF,A0A6B8J2F0,,,UPI000BD384B7,,,,,UPI00112C30E0,S2FQ83,,UPI000F63EF1D,
985288,UPI0005C53D8D,A0A106DN84,UPI00076055E8,,,UPI000798E5F2,,UPI0013CE3806,,,UPI0004505272,UPI0003A3BAC0,,,,,UPI00103519DE,,UPI0012BC0A3C,UPI0012D2C4ED,,,,,,,,,,UPI000F013E4C,,X8B5V3,
28164,A0A0A3X1I0,A0A106QJV6,U2HFC5,A0A4Z0L1M5,UPI0010085BC9,UPI000DCC4DA8,UPI000E2E9BE4,M3M8R8,A0A5C7DM42,UPI0002A31999,A0A2X3JVZ1,D0XHH1,UPI00128BAD7B,UPI000E07AC01,UPI0012B60555,UPI001026CFE7,A0A0E1CB22,UPI001378ECAE,A0A448DE10,UPI0001C54CAE,B2FJN9,UPI0011D1CDAE,UPI000D78699C,A0A1S8CD73,A0A4Z1TBG0,,,D2V2L4,UPI000DEFC516,A0A0F7XSD4,UPI0013750D7E,A0A1A3MRL9,A0A1W9ZII3
4817552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2S3WUK1,,,
5510898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000BA26EFF,,,
4473884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1E8PFG8,,,
2471029,,UPI00075A6851,,,,,,,,,UPI0007C2637E,UPI000763B5BE,,,,,,,,,,,,,,,,,,A0A4Y8SVB6,,,
2909396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0004E354DD,,,
3507362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A291K552,,,
119613,A0A0A8TV97,A0A2N9CVK7,UPI0012F93057,A0A5W7S2K3,UPI0006635364,UPI000F863AB3,UPI001232759F,UPI000EABD5DC,A0A5Z1XCE8,UPI0013E35E46,A0A376D2R4,A0A2S9Z7G7,,A0A3E2KRS8,UPI000D702425,UPI00094066A6,UPI000C18EC78,UPI000D69F2B5,A0A3R9K228,UPI000BBC75C9,UPI000EB5E30C,UPI0013DC2018,A0A2U9DWA9,A0A1Q4NVK4,,,,,UPI00124FC70A,A0A0M3CJH0,A0A378IRF0,A0A2S8KWI5,X8A8N1
4065248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI001411EAD6,,,
878888,A0A0M2ZW05,UPI00064F9D42,UPI00075ECF3B,UPI0008A51AE7,,UPI000791E390,,X2HU62,,,UPI0003914A28,UPI0003006E04,,,,,UPI000C7A29CF,,A0A3B0BNI5,UPI000D1CE3DC,,,,,,,,,,UPI000BB5910F,,A0A4R6I0E2,
6159504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0011A30E1E,,,
5748753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI001032EFB6,,,
3887020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1C2K237,,,
2798524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A024E619,,,
1100505,A0A4V2LS77,UPI001421B6D4,UPI00075F502E,,,,,J0Q533,,,A0A3U2HC59,UPI0006D80543,,,,,UPI000BF3E2AE,,UPI0005CD4547,UPI000E26B55F,,,,,,,,,,A0A3M5MDZ3,,UPI0012E8B1A5,
6892971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000A23D391,,,
3971100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2V4I6M6,,,
5549033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000D612A1A,,,
6952370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000BA3FE36,,,
5063750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5E7A7T8,,,
4316935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0005B806B4,,,
5868004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000C9A1530,,,
605855,A0A3R9FR02,A0A0Q5PTX9,B1JYK0,UPI0001F935DE,,A0A267RVY4,UPI0007935555,A0A086RTY9,UPI000C15DCE3,UPI00148DE3BA,UPI0012BF0E67,A0A2S9ZN50,,,,,UPI0003BEDA95,,UPI0003742E7D,UPI0009203709,UPI0009A224CF,,,,,,,,,A0A3D0JTM7,,A0A1A0KLV7,
2044409,,UPI0007592C17,,,,,,,,,UPI000BB8AC54,UPI000C81531D,,,,,,,,,,,,,,,,,,UPI000F049C7C,,,
4206469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0012DA08E1,,,
1306193,UPI0010FD8947,A0A1G6RC14,UPI00075CDFE1,,,,,UPI00112A0EDF,,,UPI0013B46905,A0A4U2DB39,,,,,UPI0009B9CBA6,,UPI000CF42418,,,,,,,,,,,A0A4R7XUK1,,A0A1X0BHV6,
2852812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000494F29E,,,
276815,A0A653L2B4,UPI00136615CB,A0A2S9NRK3,A0A5I2AS30,,UPI0002DA330D,UPI0013FD6839,UPI000EADA78C,A0A516T5R2,A0A1E5H3V3,UPI000DDE0BDE,A0A0B8PBQ5,,UPI000B9B7787,,,A0A3P4IFU2,,UPI0013881D41,A0A0U1MJY7,UPI0013DC9429,A0A5K1NQA1,,UPI001445FEBC,,,,,UPI0003DFAE25,A0A4P6GHB5,,A0A1A3UEE9,
1021839,UPI00143FCE9F,A0A104M3X4,UPI0006C7BE7D,,,,,A0A0E0W9K7,,,UPI00044D0382,UPI0003DC38F2,,,,,UPI000E2E7213,,UPI0005DE9820,UPI000E681485,,,,,,,,,,A0A423DNV2,,A0A1A3SE12,
4392064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0005D808A6,,,
5898513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000BB62F13,,,
609016,A0A2T5QAH9,A0A095F1P7,A2W5K5,UPI0013FE13E6,,UPI000D39AC4E,UPI0007E8EAAD,T0GCK1,UPI000BB3FB89,UPI00148B9F59,UPI00128F38A7,A0A2S9ZU42,,,,,UPI0003DCE0A7,,UPI0002FCB1DE,UPI00099030DF,UPI0009A2466D,,,,,,,,,A0A379JU51,,A0A1E8Q2A8,
591191,A0A1A7R9J3,A0A118LIJ9,A0A1B4C3X8,UPI0005DD1881,,D2ZH62,UPI000643B8BE,A0A438RQP7,UPI000CE54BED,UPI000FF87E83,UPI000D139D42,A0A6A9HG77,,,,,UPI0003421416,,UPI0002B5DEE7,UPI0008A20EA3,UPI00066E5573,,,,,,,,,A0A5B0F6F5,,A0A1A2YTT2,
4697577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1H2G0R4,,,
1896143,,UPI00075D427F,,,,,,,,,UPI000CFAE5EA,UPI000C84F160,,,,,,,,,,,,,,,,,,UPI000FFBC511,,,
2496444,,UPI0007536690,,,,,,,,,UPI0007A623B0,UPI00064717C4,,,,,,,,,,,,,,,,,,A0A085V0N8,,,
1478871,UPI000B35112E,Q3JRY1,UPI000752F50E,,,,,,,,A0A377F7G2,UPI0000D545D5,,,,,UPI0006692513,,UPI000CF5D2BC,,,,,,,,,,,UPI0012978094,,UPI000BAAB3BA,
608585,A0A654RKN5,A0A2A7SH18,A2W3A6,UPI000570C8B3,,UPI000D736FD8,UPI00079AA67B,E8QF33,UPI000BB3EDC9,UPI00155FB483,UPI0012B8472C,A0A1H6C193,,,,,UPI0003BE1BD8,,UPI0002B59FB2,UPI0009909E6D,UPI0009A202AC,,,,,,,,,A0A5B0F6J3,,A0A1A3JGV7,
4086036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI001303067C,,,
2157070,,UPI00075A71E9,,,,,,,,,UPI0011168970,UPI0011210FF5,,,,,,,,,,,,,,,,,,UPI0011B6255A,,,
2891695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000464C939,,,
3500884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2V4LGI5,,,
3650425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2H4W2Y9,,,
2553569,,UPI000758F498,,,,,,,,,UPI0007A5A1B7,UPI00084DC750,,,,,,,,,,,,,,,,,,A0A5J6RAE7,,,
4505512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A4Q9QTJ6,,,
87289,N8YD90,A0A109ENL7,A0A0D5IT93,A0A3Z7EJI1,UPI001070B4F5,UPI001237FA1A,UPI000F869B39,UPI000EAED9EF,A0A644SG69,UPI000FF8AEF8,A0A2X3K884,A0A4U1VS00,,UPI000F67D2FC,UPI0012B54979,UPI000D1E2635,UPI000E2BB41A,UPI00056385BA,A0A1X1KZG9,UPI000A104B40,A0A1D8YFN1,UPI00066AB748,F9Q951,UPI0012EB5E64,,,,,UPI00124FDD88,A0A0K1QR02,A0A378LPK9,A0A5N0IUP0,A0A1A3RFC6
4025601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A4R5JX72,,,
2675831,,,,,,,,,,,UPI000BF214AE,UPI00073E8CAA,,,,,,,,,,,,,,,,,,A0A1C7Z4A1,,,
5122931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5M8EJ09,,,
2994784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0002EE9B32,,,
6223613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0009856D70,,,
2804360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A4Q9FY62,,,
1057361,A0A1Y3DDL4,A0A1B4HYI2,UPI00075373B3,,,,,A0A3N5CTT7,,,UPI0006A64539,UPI00038E503C,,,,,UPI0010828F27,,UPI0005E05FAA,UPI000D1C9813,,,,,,,,,,S2KJR2,,UPI001431EAF2,
2593403,,UPI00075DB2B9,,,,,,,,,UPI000B7E2BFA,UPI00096B6E79,,,,,,,,,,,,,,,,,,A0A653E0H7,,,
3865237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A494RAH9,,,
3793810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A089WJT0,,,
110082,A0A151Y076,A0A1V2XME5,A0A6B2MIC7,A0A5I0XBX9,UPI000972F6AA,UPI00100F1119,UPI001260603E,UPI000F19B02F,A0A6A7JUJ1,UPI0010F64C90,A0A0K6FI78,A0A099MFH9,,A0A078LAD9,A0A1J0EB42,UPI00111A2241,UPI000EFB8388,UPI000BA091EF,V8IKS9,UPI000B414FE7,UPI0013183D0D,UPI001313253A,A0A369YDX0,A0A1Q4P643,,,,,UPI000F4E5705,A0A1V0B231,A0A0W0VJ68,A0A375YZI3,A0A0H3A0F2
3715390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A285F2P3,,,
6244607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000940B3A5,,,
2436390,,UPI00075BECD6,,,,,,,,,UPI0009857C27,UPI00097E3BC0,,,,,,,,,,,,,,,,,,A0A3R8VNT8,,,
3896275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J2YUC9,,,
2047204,,UPI00075B98CD,,,,,,,,,UPI000BE6AC74,UPI000BCA563E,,,,,,,,,,,,,,,,,,UPI000F4ABE08,,,
2515599,,UPI0007540F9A,,,,,,,,,UPI0006A0C276,UPI00084B618D,,,,,,,,,,,,,,,,,,A0A0B3BYR6,,,
3156961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0003B93F31,,,
66853,A0A380UQ24,U2H723,UPI000F5CFD96,A0A659S2A0,A0A3P6KSA4,UPI00131F1B50,UPI000F81FEF8,A0A2A6VDA3,A0A692HR98,UPI000BA8A8A6,A0A2X1MT62,A0A5P8IND6,UPI000D839037,A0A212IJP8,A0A3N1ZKL9,T3DIA8,UPI000DE34B9C,UPI0013DEAF53,A0A1C3SPP3,UPI00044E1697,UPI000C155B1F,UPI00030F77FC,A0A369Z095,UPI000F6BF2DA,,,,,A0A506EYL5,A0A2V2SZA9,A0A3S0Y962,A0A1A1W0W4,A0A329KV92
6219536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000994B986,,,
2310656,,UPI00075BECC5,,,,,,,,,UPI00070F01C2,UPI0011236F4F,,,,,,,,,,,,,,,,,,A0A2V1YD68,,,
6300528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000A1EC6F1,,,
2450951,,UPI00075C2B48,,,,,,,,,UPI00093FD446,UPI0009B531D7,,,,,,,,,,,,,,,,,,A0A3D9VMZ0,,,
2203197,,UPI0008FDE218,,,,,,,,,UPI0010D7E248,UPI0010CA8C60,,,,,,,,,,,,,,,,,,UPI00125FEFA0,,,
1827738,,UPI00075FD9D7,,,,,,,,,UPI00107F5A59,UPI001081C0C9,,,,,,,UPI000B590188,,,,,,,,,,,UPI000F056007,,UPI000677E405,
2805948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A2K4GAC3,,,
2814993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1H1XLX4,,,
5325495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A5M8FCN8,,,
6364619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0007313CAF,,,
4306034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000590B3C6,,,
5252370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1E8P4C5,,,
1354633,UPI000AF0F211,A0A1B4PRE3,UPI0007558464,,,,,UPI001126CA98,,,UPI0005C624A4,UPI00136AED38,,,,,UPI0007422343,,UPI000DA302F6,,,,,,,,,,,M4WWP7,,A0A1A3NTU2,
3455010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A448QHD7,,,
386967,UPI00124DF3FA,UPI000F57979D,UPI00066959D9,UPI000EF68D91,,A0A1D3BLA5,A0A3R8Z140,T2S9S0,A0A660LU66,UPI00094E3245,A0A0J2B8N9,UPI001375F453,,UPI000B49046F,,,UPI00132FC6F1,,UPI0012D76480,A0A1Q8DES0,A0A1S2BT97,UPI00070C30A0,,A0A1W5DTB5,,,,,A0A3R9RJA5,A0A5J6QLA9,,A0A1X0LD78,
1079915,A0A1J4NKK7,A0A1B4FT54,UPI000758C2E3,,,,,A0A0L0PYK5,,,A0A2X3K9X8,UPI00066DC826,,,,,UPI001119C7BA,,UPI00019233CE,UPI000DE3FF54,,,,,,,,,,A0A3M5P7X8,,UPI00141D88D8,
1756671,,UPI0009B416BF,,,,,,,,,UPI0010106E06,UPI000D332C4E,,,,,,,UPI000733BD6D,,,,,,,,,,,UPI000FD4B3FB,,UPI000991AF9A,
442428,UPI0012E0E4F5,UPI000F086991,A0A1B4HTY1,A0A3Z1B6L6,,UPI0013D6C148,UPI000D377D13,UPI0002BA9910,UPI0005C42403,UPI000668813F,UPI00132FDDD7,UPI00101F2011,,,,,UPI000F66FCD6,,A0A5B7Y462,G5JKG4,A0A2W6GHF1,,,UPI000CDD8B6B,,,,,UPI000C7043E5,S2F7K2,,UPI0011EE4B32,
6290551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000A1F83B5,,,
4081786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00131E4320,,,
6639817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0009395CDB,,,
4490962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8FZ38,,,
5737772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI0010688E2B,,,
4824127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1G7B0D5,,,
2349135,,UPI000754BA28,,,,,,,,,UPI0005A925F0,UPI0011D7BA01,,,,,,,,,,,,,,,,,,A0A2U1RCG5,,,
3912198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A0P9TGF6,,,
4606106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A1E5X974,,,
4189597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI001373030D,,,
6707637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI000761E468,,,
4731354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0A326TG58,,,
4069568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00140B1F80,,,
2693891,,,,,,,,,,,,UPI000690C119,,,,,,,,,,,,,,,,,,J3IE05,,,
378458,UPI00124CD9F0,UPI000F5A454A,UPI0004093715,UPI00122CB614,,A0A0V9DYS7,A0A144JIH0,J0MQN0,C8PHR5,UPI0008A61DF1,A0A5B9AUE9,UPI00136D16EE,,UPI0006BA34C7,,,UPI0013309185,,UPI001296EDB2,A0A6B9HRG9,A0A6B8JIW2,UPI00117EB971,,A0A4Z0DUK9,,,,,A0A4V2R1T7,A0A0P9TU20,,V7MTP9,
4293258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPI00053E88AC,,,
