,Aeromonas,Campylobacter,Clostridioides,Citrobacter,Enterobacter,Enterococcus,Escherichia,Helicobacter,Klebsiella,Listeria,Morganella,Providencia,Salmonella,Shigella,Vibrio,Acinetobacter,Burkholderia,Haemophilus,Legionella,Proteus,Pseudomonas,Serratia,Staphylococcus,Stenotrophomonas,Streptococcus,Acanthamoeba,Naegleria,Giardia,Vermamoeba,M+avium+complex,B+cepacia+complex,S+maltophilia+group,E+cloacae+complex,A+caloaceticus+baumanii+complex,Leptospira,Mycobacterium,Mycolicibacterium,Mycolicibacter,Mycolicibacillus,Mycobacteroides
1098028,,,,,UPI000BA894B2,,UPI00136F29A4,UPI00099257E0,A0A422ZGF3,,,,A0A5I1RUG8,,UPI000F487A72,UPI00124F8D04,A0A228IBI4,,,,A0A5R9QNY0,,UPI00069D42F9,,A0A380JUT7,,,,,,UPI000752E19C,,,,,UPI0002A57076,,,,
8052875,,,,,,,,,,,,,,,,,,,,,A0A5E7R5X6,,,,,,,,,,,,,,,,,,,
4327197,,,,,,,,,,,,,,,,,,,,,A0A5C4KHV1,,,,,,,,,,,,,,,,,,,
2068475,,,,,,,A0A5F1QF60,,,,,,,,UPI00051DF135,,UPI0012F4AA72,,,,A0A2N7XN76,,,,A0A1X1JVJ8,,,,,,A0A6J5IRC9,,,,,V7KNY6,,,,
2166212,,,,,,,A0A484WS31,,,,,,,,A0A1R4LJA2,,A0A5P8VPF1,,,,A0A5M8GB09,,,,A0A1F2GC37,,,,,,,,,,,,,,,
520652,UPI0005A8EB2F,A0A694GY45,,A0A5A9BWP2,UPI001260AE1C,UPI0001EB8553,UPI00102A8503,UPI001129A1F6,UPI000F8789A3,,,,A0A5H6NTE0,,UPI001589B2AC,UPI0015D18F75,UPI00158A25C1,,,,UPI000FB7F685,UPI0009B50BB5,A0A2T4RTT8,A0A4Z0DKU4,E9DLV7,,,,,,UPI001588DE4C,UPI000D53D0DE,A0A5E0PIZ2,UPI0002DCE4CC,Q6A7H2,A0A1A3SZ20,A0A1A3HE74,,,
3301839,,,,,,,UPI000DD75FC7,,,,,,,,,,UPI000D00FDCC,,,,A0A1K1MSV9,,,,,,,,,,,,,,,,,,,
2266754,,,,,,,A0A4T6R027,,,,,,,,A0A2J6U969,,A0A228PHG5,,,,A0A5D3GDT7,,,,,,,,,,,,,,,,,,,
1832791,,,,,,,UPI0002CB4234,,UPI000D749911,,,,,,UPI000409AD82,UPI000DD0E044,UPI00075602D5,,,,A0A176NHV7,,,,UPI0007359A73,,,,,,UPI000752F670,,,,,UPI000BFECD00,,,,
3165381,,,,,,,UPI000B7DB484,,,,,,,,A0A4R3P0M5,,UPI00075598AC,,,,A0A1G7BHA8,,,,,,,,,,,,,,,,,,,
2773106,,,,,,,UPI0008FD6D05,,,,,,,,UPI0009A9BE9A,,UPI000A19FF54,,,,I4MY65,,,,,,,,,,,,,,,,,,,
6523763,,,,,,,,,,,,,,,,,,,,,UPI0012B795CC,,,,,,,,,,,,,,,,,,,
6016035,,,,,,,,,,,,,,,,,,,,,UPI00064872E9,,,,,,,,,,,,,,,,,,,
7354011,,,,,,,,,,,,,,,,,,,,,A0A2G0WAQ7,,,,,,,,,,,,,,,,,,,
1659937,,,,,,,A0A777TLF3,V5NLL1,UPI000BA104AB,,,,,,A0A0D1FDH9,UPI000699AAA1,UPI000751DC0A,,,,W8PXI2,,,,UPI00066DB0F1,,,,,,UPI0009B51395,,,,,UPI00061C02A6,,,,
5586171,,,,,,,,,,,,,,,,,,,,,UPI0008194D3F,,,,,,,,,,,,,,,,,,,
7684263,,,,,,,,,,,,,,,,,,,,,A0A2K4G1R6,,,,,,,,,,,,,,,,,,,
1616175,,,,,,,A0A777VR91,A0A3Q8TRX3,UPI0009AEB196,,,,,,A0A0N9DYK8,UPI00097F7991,UPI00075D95FC,,,,A0A2V4Q0H5,,,,UPI000B592D63,,,,,,A0A118NCL8,,,,,UPI0004AD431C,,,,
3536313,,,,,,,,,,,,,,,,,A0A498RWH9,,,,A0A3Q8U538,,,,,,,,,,,,,,,,,,,
5293455,,,,,,,,,,,,,,,,,,,,,UPI0002D82FBF,,,,,,,,,,,,,,,,,,,
6968034,,,,,,,,,,,,,,,,,,,,,A0A2V4KZU5,,,,,,,,,,,,,,,,,,,
5074905,,,,,,,,,,,,,,,,,,,,,UPI00071BFC32,,,,,,,,,,,,,,,,,,,
1964144,,,,,,,UPI0002C94056,,,,,,,,UPI0002C16FFE,A0A1Y3CMD9,UPI0007538403,,,,A0A2R3IW25,,,,UPI000CF5C626,,,,,,UPI000CFF94B7,,,,,A0A2I7WAP2,,,,
1717314,,,,,,,A0A6L8Z9M7,,UPI000BCCFE09,,,,,,A6D5V1,UPI000810CE4A,UPI00075BB982,,,,A0A1I0VP50,,,,UPI00066BA960,,,,,,UPI000B4DFF32,,,,,UPI0007FDFF61,,,,
835677,,UPI000CD91DCC,,,A0A4P6Y634,A0A0S3K6U5,UPI0007441D9C,A0A0K2XVW4,UPI0012B763F9,,,,A0A5J2K1Z8,,UPI00112389CA,UPI00105BC8B2,UPI00163E639D,,,,UPI001462C6E8,,A0A1Q8DC41,A0A0R0DU89,UPI001262F745,,,,,,UPI0006AC1AC5,,UPI000B3B960B,,,UPI00138C402D,A0A6N4WB53,,,
6199004,,,,,,,,,,,,,,,,,,,,,UPI00123C113D,,,,,,,,,,,,,,,,,,,
7698154,,,,,,,,,,,,,,,,,,,,,A0A1Y0KSN6,,,,,,,,,,,,,,,,,,,
3045337,,,,,,,UPI000CFA8481,,,,,,,,UPI000D3ADBDE,,UPI00080B2509,,,,A0A329JA06,,,,,,,,,,,,,,,,,,,
3372523,,,,,,,S1BQL8,,,,,,,,,,UPI000F074114,,,,A0A0F0F4R7,,,,,,,,,,,,,,,,,,,
1070732,,,,,UPI0007B35B77,,UPI001302CE1C,UPI0011279EFA,A0A6S5KXR3,,,,A0A762E6H0,,UPI00102BB2A7,UPI000DE96727,A0A6P2GGK9,,,,UPI000F582E19,,UPI0008A107A7,,A0A068B2G4,,,,,,UPI0007554C9B,,,,,UPI0003FFAD4C,,,,
331543,UPI000E56BE71,UPI000CD8C693,,A0A6B5NTD9,UPI000E23EDBF,UPI000787BDAE,UPI0015FF1614,E1PY65,A0A3P2EIB5,A0A6H5X8W7,,,A0A703K5N4,,UPI00148206BC,UPI0014906FE9,A0A3P0ND85,,,,UPI000BA49ED3,UPI0013DAE6C1,UPI000E7322BF,UPI001311CFE7,A0A4T2GLF2,,,,,,UPI00158CBD73,A0A2W6MML9,UPI00058908D0,UPI00044DA9B6,UPI000292075F,A0A2Z5YLE5,UPI000DAD6D70,,,A0A1N0PFU0
4856576,,,,,,,,,,,,,,,,,,,,,UPI00053D7A04,,,,,,,,,,,,,,,,,,,
2326427,,,,,,,A0A6M1B6Y8,,,,,,,,UPI0009FE6360,,UPI00016A7253,,,,A0A0M3UEF7,,,,,,,,,,,,,,,,,,,
2421017,,,,,,,A0A2X1KS23,,,,,,,,UPI0009ADB910,,UPI001640EF54,,,,A0A5K7TY82,,,,,,,,,,,,,,,,,,,
4762606,,,,,,,,,,,,,,,,,,,,,UPI00053E9BD0,,,,,,,,,,,,,,,,,,,
3303567,,,,,,,UPI000DA436A0,,,,,,,,,,UPI000CFF9E0D,,,,A0A1H3NNI0,,,,,,,,,,,,,,,,,,,
4735699,,,,,,,,,,,,,,,,,,,,,UPI00050E9CF1,,,,,,,,,,,,,,,,,,,
2387623,,,,,,,A0A2W6P920,,,,,,,,UPI000A1EDF07,,UPI00053716B2,,,,A0A5E7D8X7,,,,,,,,,,,,,,,,,,,
5062945,,,,,,,,,,,,,,,,,,,,,UPI0007D0704B,,,,,,,,,,,,,,,,,,,
7105610,,,,,,,,,,,,,,,,,,,,,A0A3F3HAH6,,,,,,,,,,,,,,,,,,,
2324267,,,,,,,A0A400NEL2,,,,,,,,UPI0009F889FE,,UPI00016A98A6,,,,A0A6C0TTW3,,,,,,,,,,,,,,,,,,,
1827019,,,,,,,UPI00038F7058,,UPI000E2E3138,,,,,,UPI00042A5DC9,UPI000E2AC61D,UPI00075F08AB,,,,A0A423HLZ9,,,,UPI0008876BDE,,,,,,UPI00075C68F2,,,,,UPI000BAB083A,,,,
1749805,,,,,,,A0A6L8Z7R6,,UPI000C88B12A,,,,,,UPI0003F7B3F5,UPI00094D0263,UPI00075B69E3,,,,A0A2N1IN77,,,,UPI00066CD1C6,,,,,,UPI0006654082,,,,,UPI000919BC46,,,,
5099112,,,,,,,,,,,,,,,,,,,,,UPI00069CCDDC,,,,,,,,,,,,,,,,,,,
5553618,,,,,,,,,,,,,,,,,,,,,UPI0009B90D33,,,,,,,,,,,,,,,,,,,
8276382,,,,,,,,,,,,,,,,,,,,,A0A0P9VKE6,,,,,,,,,,,,,,,,,,,
6905903,,,,,,,,,,,,,,,,,,,,,A0A2G0YIX1,,,,,,,,,,,,,,,,,,,
2445477,,,,,,,A0A2S7SDJ0,,,,,,,,UPI00084AB649,,UPI00163F1436,,,,A0A379JR16,,,,,,,,,,,,,,,,,,,
3935108,,,,,,,,,,,,,,,,,,,,,A0A3Q9D7K5,,,,,,,,,,,,,,,,,,,
177328,UPI00111AAB46,A0A128EH51,T3D5D5,A0A064E5W3,A0A330DZ16,A0A242LU00,A0A0A1A406,UPI00165CDF0B,UPI0015F31795,UPI0004B8D8AB,,A0A6L6F7L2,UPI0012846940,A0A246W3W2,A0A4R3PA16,A0A5C4TWG4,A0A4V2WU77,UPI000802AAD9,D3HLR8,A0A6I7D2E9,UPI00040A40E7,A8G7T5,G5JJY3,UPI0015C558B6,A0A0Y0CQ57,,,,,UPI00097D8F2F,A0A1V6KRH0,UPI00131F04FA,UPI00100DEBA0,A0A1U9S5S4,A0A5F2A497,A0A1A0SDJ9,UPI0015C70DA3,,,UPI000AC4D861
4298130,,,,,,,,,,,,,,,,,,,,,A0A1S8DKE0,,,,,,,,,,,,,,,,,,,
4804330,,,,,,,,,,,,,,,,,,,,,UPI000483B226,,,,,,,,,,,,,,,,,,,
7038270,,,,,,,,,,,,,,,,,,,,,A0A4Q9GG37,,,,,,,,,,,,,,,,,,,
5540606,,,,,,,,,,,,,,,,,,,,,UPI000985E4D3,,,,,,,,,,,,,,,,,,,
7843801,,,,,,,,,,,,,,,,,,,,,A0A387CIP6,,,,,,,,,,,,,,,,,,,
2133852,,,,,,,A0A0K4MTP1,,,,,,,,A0A4Y3ILX5,,I5CVY7,,,,A0A5C8N019,,,,A0A428HWN1,,,,,,A0A3P0C7N7,,,,,,,,,
5901448,,,,,,,,,,,,,,,,,,,,,UPI0009415424,,,,,,,,,,,,,,,,,,,
6914674,,,,,,,,,,,,,,,,,,,,,A0A0P9QBK2,,,,,,,,,,,,,,,,,,,
7913089,,,,,,,,,,,,,,,,,,,,,A0A5E7W521,,,,,,,,,,,,,,,,,,,
7475006,,,,,,,,,,,,,,,,,,,,,A0A5P1DJK2,,,,,,,,,,,,,,,,,,,
4119837,,,,,,,,,,,,,,,,,,,,,A0A1H4UX21,,,,,,,,,,,,,,,,,,,
3812281,,,,,,,,,,,,,,,,,,,,,A0A1N6ZST8,,,,,,,,,,,,,,,,,,,
2462229,,,,,,,UPI0010CBC398,,,,,,,,UPI0005B33D41,,UPI00163FCA97,,,,A0A2N5Q869,,,,,,,,,,,,,,,,,,,
3393235,,,,,,,A0A2K4PA42,,,,,,,,,,E1TFP4,,,,A0A1T1HNQ1,,,,,,,,,,,,,,,,,,,
6309281,,,,,,,,,,,,,,,,,,,,,UPI00110CF889,,,,,,,,,,,,,,,,,,,
2378789,,,,,,,A0A3Z8SNH7,,,,,,,,UPI0009A9358C,,UPI00047F3D7E,,,,A0A078MJL9,,,,,,,,,,,,,,,,,,,
7482239,,,,,,,,,,,,,,,,,,,,,A0A4Q9FVM2,,,,,,,,,,,,,,,,,,,
765446,,UPI00094D2B68,,,UPI0005367508,UPI000CF14081,UPI0010CB2E0F,UPI000C30CC88,UPI000E085549,,,,A0A3X0H9R8,,A0A0B8QAE4,A0A385C4N4,UPI0016402BEB,,,,UPI0010F9D375,,UPI0002A6F569,UPI000DAA2BF9,UPI00077902D3,,,,,,UPI000F5F064F,,UPI0007938FB1,,,UPI000E3B869C,UPI000DA1D4A3,,,
6002733,,,,,,,,,,,,,,,,,,,,,UPI000628A1C8,,,,,,,,,,,,,,,,,,,
814390,,UPI000BB3F3C5,,,A0A389MTD9,A0A242CUC4,UPI000DE0D2B4,UPI0013F3EC10,UPI000E2D06A7,,,,A0A719S139,,UPI0011219DBF,B0VE41,UPI00163F8BCA,,,,UPI0013911127,,A0A6M2AKG4,A0A4R4IHX5,UPI000618DF7D,,,,,,UPI0007550052,,UPI0007983900,,,UPI0012EA96A6,A0A0B2YDD7,,,
1789061,,,,,,,UPI0003916FF7,,UPI000D7316DB,,,,,,UPI0003591422,UPI000C77AE2E,UPI000759B745,,,,A0A1N7TVN8,,,,UPI0005DF0998,,,,,,UPI00084134E5,,,,,UPI00096A8FE8,,,,
1084694,,,,,UPI00093D9E22,,UPI0013B44530,UPI00165A3C5C,A0A0K2CT33,,,,A0A5V3WIE2,,UPI0010119310,UPI000DD04CD3,A0A095GKU8,,,,UPI000F01D2DB,,UPI0008A493B6,,A0A380JQ05,,,,,,UPI000753E9E6,,,,,UPI0003F217D6,,,,
671633,UPI0009B8F603,UPI000A357111,,,A0A330GMF1,UPI0008B5AA47,UPI000F8878F2,UPI000EAF81FB,UPI0006684415,,,,A0A638MBT1,,A0A658HFM5,N9M5Q2,UPI00158CE288,,,,UPI000F07105A,A0A447Q1P5,A0A5F1B062,UPI00066DE5F3,UPI0010A174C5,,,,,,A0A6P2JG64,,UPI00063CEDAF,UPI0008382109,,UPI0005DC9AC4,UPI00096DDAF0,,,
4469379,,,,,,,,,,,,,,,,,,,,,A0A1G4S8L6,,,,,,,,,,,,,,,,,,,
7698227,,,,,,,,,,,,,,,,,,,,,A0A3G7Y489,,,,,,,,,,,,,,,,,,,
4260136,,,,,,,,,,,,,,,,,,,,,A0A2W7KNT7,,,,,,,,,,,,,,,,,,,
5461020,,,,,,,,,,,,,,,,,,,,,UPI000962CD28,,,,,,,,,,,,,,,,,,,
7699550,,,,,,,,,,,,,,,,,,,,,A0A3M5CW33,,,,,,,,,,,,,,,,,,,
3366032,,,,,,,A0A5F1HEG6,,,,,,,,,,UPI000DAF0530,,,,A0A5C5P9B4,,,,,,,,,,,,,,,,,,,
5057718,,,,,,,,,,,,,,,,,,,,,UPI000774B2EB,,,,,,,,,,,,,,,,,,,
3568443,,,,,,,,,,,,,,,,,A0A1H2PJZ8,,,,A0A423MMK8,,,,,,,,,,,,,,,,,,,
4569154,,,,,,,,,,,,,,,,,,,,,A0A399M9W2,,,,,,,,,,,,,,,,,,,
3866523,,,,,,,,,,,,,,,,,,,,,J3IK88,,,,,,,,,,,,,,,,,,,
2676782,,,,,,,UPI0005A8D9C6,,,,,,,,UPI00084B2552,,A0A2A4FLZ6,,,,A0A3M4VFL5,,,,,,,,,,,,,,,,,,,
4631926,,,,,,,,,,,,,,,,,,,,,A0A1I3CV82,,,,,,,,,,,,,,,,,,,
4380310,,,,,,,,,,,,,,,,,,,,,V8R092,,,,,,,,,,,,,,,,,,,
6228216,,,,,,,,,,,,,,,,,,,,,UPI0011F130D1,,,,,,,,,,,,,,,,,,,
129163,A0A6G6NEY7,A0A430T1B1,UPI0006BBCF34,UPI0015EAEB30,UPI0015E80825,A0A3D9A311,A0A0C2AN41,A0A099TVV2,UPI0015F533B5,A0A2X3HBU6,,A0A427HJZ6,UPI001051F364,A0A3S4L4T2,A0A1M5E3S6,R8Y6G4,A0A3N8E1A3,UPI00025B2744,A0A447SWN6,UPI000668765F,UPI0004093679,UPI0016034259,UPI0015D73557,UPI0015D1EFB4,A0A0F3H2C7,,,,,A0A250BPE4,A0A1G5NCW8,UPI0006C2F1EE,UPI000F8160C2,UPI00157FD0B0,M6D5X1,A0A1X2E393,A0A2S8N2H5,,,UPI000231754F
1238033,,,,,,,A0A069XIV7,UPI000CF11652,A0A6I3VX27,,,,UPI0003BCEB31,,UPI00111F91EF,N9K317,UPI0010FA260D,,,,UPI000F542D3B,,UPI000D1D9D96,,UPI0002B5AFA7,,,,,,UPI0007573B02,,,,,A0A5R8SXR4,,,,
6607178,,,,,,,,,,,,,,,,,,,,,UPI000DA6B44E,,,,,,,,,,,,,,,,,,,
708663,UPI000DE588B8,UPI00094D5793,,,UPI000407DBFA,UPI000789BA8F,UPI00106F804F,UPI0006A207E8,UPI0012B832F8,,,,A0A3V2HW12,,A0A4U1YXU6,Q6F7F0,UPI00158BEF19,,,,UPI000F0614D4,,UPI000FF1370E,UPI000C1509A5,UPI000779C5CC,,,,,,UPI000F5BE1F3,,UPI00062C1483,UPI000D0BBE73,,UPI00070FC1F6,UPI000405D547,,,
4745756,,,,,,,,,,,,,,,,,,,,,UPI00053E9A85,,,,,,,,,,,,,,,,,,,
2052396,,,,,,,A0A6N8PWY9,,,,,,,,UPI0005099E8B,,UPI00131CD1A7,,,,A0A0F4XKH6,,,,A0A5C4P764,,,,,,A0A6P2WGN3,,,,,A0A1A2DZE7,,,,
1957953,,,,,,,UPI0002CA9820,,,,,,,,UPI0002A3FB43,V2U3F9,UPI000752E5F2,,,,A0A6H9R3G1,,,,UPI000CF5CE11,,,,,,UPI000D359198,,,,,A0A1A3PHJ8,,,,
6677580,,,,,,,,,,,,,,,,,,,,,UPI00131C41A2,,,,,,,,,,,,,,,,,,,
2216966,,,,,,,A0A2J1D8S5,,,,,,,,A0A344KJN0,,A0A1V2XTP9,,,,A0A427F9Y6,,,,,,,,,,,,,,,,,,,
1942026,,,,,,,UPI0001DD2759,,,,,,,,UPI00005F5166,A0A3S9ANM0,UPI0007588D9A,,,,A0A3S0JDY9,,,,UPI000CF4F6B1,,,,,,UPI0008FE8DDD,,,,,A0A1A2VHB0,,,,
642275,UPI00043AD61E,UPI000A2FBB2C,,,A0A6L4XLS4,UPI0009C12B13,UPI001075D231,UPI000EAF2D38,UPI0005EDF0DD,,,,A0A704QQV5,,A0A0T7DKI5,A0A1C4GSE9,UPI00158E8E3C,,,,UPI0010237FCD,UPI000D1574C1,A0A6K0KQ15,UPI00066AD115,A0A660ENK9,,,,,,B9BLZ6,,UPI000A451614,UPI0004674BAD,,UPI0007F0309B,A0A5A7WVY6,,,
335344,UPI000DE5AFDC,UPI000CD8989A,,A0A5T7B4N5,UPI000E2F1744,UPI00065E6AE5,UPI0015F504E1,I9VHI6,W1I3S5,A0A5L9HQG9,,,A0A636D4N9,,UPI001469FEE2,UPI001443BB76,A0A1D7ZDA9,,,,UPI000BA4610D,UPI0013182E8E,UPI000734B083,A0A6G7HQS4,A0A0Z8J0I4,,,,,,UPI00158976B2,A0A3N1QSU0,UPI00063CD59F,UPI00044E7ACF,UPI0003286799,A0A1E8Q6C0,UPI0013926E58,,,A0A1U1KW33
4047533,,,,,,,,,,,,,,,,,,,,,A0A3S9JPI1,,,,,,,,,,,,,,,,,,,
2892897,,,,,,,UPI000BE24192,,,,,,,,UPI000C83A614,,UPI0009B6005F,,,,A0A2N8GYH4,,,,,,,,,,,,,,,,,,,
224916,UPI000F5E27F0,UPI0011A27C90,,UPI0010C956DE,UPI000F85D3D5,R2RZ54,UPI0015833CBC,UPI0013F3C178,UPI0015F302B5,UPI00077ADB0E,,,A0A379R1N5,,UPI0014828802,A0A4Q7CK94,A0A658CK92,UPI000E569912,A0A0W0Z2V9,,UPI000A34E248,UPI000F7E8CF8,UPI0011A8E26F,UPI00111090EE,UPI00147915C3,,,,,A0A1R0ULD4,A0A106W1M4,A0A6B8GSI1,UPI0007B36552,A0A0Q1QKQ6,UPI0007744C7D,A0A1A0MY92,A0A378W3N9,,,UPI00092819F3
7454427,,,,,,,,,,,,,,,,,,,,,A0A3M4L1M1,,,,,,,,,,,,,,,,,,,
2475696,,,,,,,UPI000A330A6E,,,,,,,,UPI000681CCA7,,UPI001641980D,,,,A0A3S0N319,,,,,,,,,,,,,,,,,,,
61918,UPI00111AADC6,UPI00147464D8,A0A381I756,UPI0015B19CC2,UPI00168BA0FD,UPI00115E886F,A0A2X1N7U3,A0A0M0MVP9,A0A378C798,A0A3T1N7G3,A0A433ZQ62,UPI0012B632ED,UPI0015FEF634,UPI000E5D087D,A0A0E4GJ67,N9ELS2,A0A6J5JAV2,UPI0010A4C58A,Q5WZN3,UPI00137863B4,UPI0001DCF95E,A0A0P0QJR5,UPI0016805077,A0A0S1B1N8,A0A1E1G9J1,,,,,UPI0007A08F35,A0A0G3X314,UPI0013DB68D6,UPI00159CD319,A0A1C2M377,A0A5F2C599,A0A501NYE8,A0A2A7ND32,A0A1X1ZN40,,A0A6I4AB94
4100792,,,,,,,,,,,,,,,,,,,,,A0A653B300,,,,,,,,,,,,,,,,,,,
1237589,,,,,A4W6Q3,,A0A129MRD4,UPI000CF0769E,A0A376Q0K0,,,,UPI0003BD699A,,UPI0005F0DE9D,F0KPU2,UPI00111D888D,,,,UPI000F523E52,,UPI000D1D4693,,UPI000254BC5E,,,,,,UPI000756A1B7,,,,,A0A1X0BJH0,,,,
4403220,,,,,,,,,,,,,,,,,,,,,A0A1N7E0K7,,,,,,,,,,,,,,,,,,,
314264,UPI0005C19D1F,UPI00125EE023,,A0A4S3SQT3,UPI00100F456B,UPI0010F4454D,UPI00157C35FC,UPI00148C2B27,A0A2X4YBC4,UPI000D6F44BF,,,A0A3V9LEF6,,UPI00155F8C50,UPI00148F68AE,A0A6P2VNL4,,A0A354EYK8,,UPI000ACC24D0,UPI0012E19BFE,UPI000E3DF9EF,UPI0013DCAD9E,A0A116NGB2,,,,,,UPI00158B324E,A0A431UQU8,UPI00073562DC,UPI0007D7A9C3,UPI000328712A,UPI001436C7D3,UPI00058D1439,,,UPI000C267E0F
4072650,,,,,,,,,,,,,,,,,,,,,A0A2A4ASP0,,,,,,,,,,,,,,,,,,,
